number,fertilization,thermoregulation,class,order,family,species,body_mass,body_mass_log,souce_body_mass,sperm_length,sperm_length_log,source_sperm_length,testes_mass,testes_mass_log,source_testes_mass,clutch_size,clutch_size_log,source_clutch_size,genome_size,source_genome_size
763,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Damaliscus pygargus,72500,4.86,Tourmente et al 2011,50.8,1.705863712,Fitzpatrick et al 2022,160,2.2,Tourmente et al 2011,,,,,
817,internal,endotherm,Mammalia,Rodentia,Muridae,Dasymys incomtus,122.36,2.09,Etard et al 2020,159,2.201397124,Fitzpatrick et al 2022,3.05,0.48,Baker et al 2020,2.6275,0.419542725,Etard et al 2020,,
654,internal,endotherm,Mammalia,Rodentia,Dasyproctidae,Dasyprocta leporina,3009.99,3.48,Etard et al 2020,48,1.681241237,Fitzpatrick et al 2022,10.06,1,Lupold & Fitzpatrick 2015,1.75,0.243038049,Etard et al 2020,,
669,internal,endotherm,Mammalia,Cingulata,Dasypodidae,Dasypus hybridus,1500,3.18,Etard et al 2020,63.1,1.800029359,Fitzpatrick et al 2022,,,,7.27,0.861534411,Etard et al 2020,4.89,Animal genome size database
670,internal,endotherm,Mammalia,Cingulata,Dasypodidae,Dasypus novemcinctus,4076.4,3.61,Etard et al 2020,68,1.832508913,Fitzpatrick et al 2022,,,,3.98,0.599883072,Etard et al 2020,5.41,Animal genome size database
507,internal,endotherm,Mammalia,Dasyuromorphia,Dasyuridae,Dasyuroides byrnei,107.24,2.03,Etard et al 2020,254.8,2.406199424,Fitzpatrick et al 2022,1.38,0.14,Baker et al 2020,5.57,0.745855195,Etard et al 2020,,
733,internal,endotherm,Mammalia,Primates,Daubentoniidae,Daubentonia madagascariensis,2610.33,3.42,Etard et al 2020,55.8,1.746634199,Fitzpatrick et al 2022,,,,1.005,0.002166062,Etard et al 2020,,
372,internal,endotherm,Aves,Passeriformes,Hirundinidae,Delichon urbicum,16.78,1.22,Etard et al 2020,98.78,1.994669022,Fitzpatrick et al 2022,0.2,-0.7,Baker et al 2020,4,0.602059991,Etard et al 2020,,
477,internal,endotherm,Mammalia,Cetartiodactyla,Delphinidae,Delphinus delphis,83946,4.92,Baker et al 2020,70.59,1.848743182,Fitzpatrick et al 2022,1610.65,3.21,Baker et al 2020,1,0,Anage,,
663,internal,endotherm,Mammalia,Diprotodontia,Macropodidae,Dendrolagus matschiei,7080,3.85,Etard et al 2020,105.2,2.02201574,Fitzpatrick et al 2022,,,,1.0075,0.003245055,Etard et al 2020,,
624,internal,endotherm,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus sumatrensis,1153078.02,6.06,Etard et al 2020,42,1.62324929,Lupold & Fitzpatrick 2015,549,2.74,Lupold & Fitzpatrick 2015,1,0,Etard et al 2020,,
949,internal,ectotherm,Reptilia,Squamata,Teiidae,Dicrodon guttulatum,135.82,2.13,Etard et al 2020,73.13,1.864095573,Fitzpatrick et al 2022,,,,,,,,
1263,internal,endotherm,Mammalia,Rodentia,Muridae,Diplothrix legata,70.19,1.85,Etard et al 2020,122.8,2.089198367,Fitzpatrick et al 2022,,,,,,,,
942,internal,endotherm,Mammalia,Rodentia,Muridae,Dipodillus dasyurus,39,1.59,McLennan et al 2016,147.8,2.169674434,Fitzpatrick et al 2022,0.4,-0.4,McLennan et al 2016,3.88,0.588831726,Pantheria,,
1058,internal,endotherm,Mammalia,Rodentia,Heteromyidae,Dipodomys merriami,38.3,1.58,Etard et al 2020,160.8,2.206286044,Fitzpatrick et al 2022,0.45,-0.35,Baker et al 2020,2.345,0.370142847,Etard et al 2020,,
1059,internal,endotherm,Mammalia,Rodentia,Heteromyidae,Dipodomys ordii,50.4,1.7,Etard et al 2020,151.7,2.180985581,Fitzpatrick et al 2022,0.53,-0.28,Baker et al 2020,3.05,0.484299839,Etard et al 2020,,
991,internal,ectotherm,Reptilia,Squamata,Agamidae,Diporiphora bilineata,11.02,1.04,Etard et al 2020,66.51,1.822886948,Fitzpatrick et al 2022,,,,5.750236264,0.759685689,Etard et al 2020,,
974,internal,ectotherm,Reptilia,Squamata,Colubridae,Dipsas turgidus,48.2,1.68,Etard et al 2020,117.76,2.070997797,Fitzpatrick et al 2022,0.15,-0.82,Tourmente et al 2009,,,,,
1055,internal,endotherm,Mammalia,Rodentia,Dipodidae,Dipus sagitta,87.33,1.94,Etard et al 2020,56,1.748188027,Fitzpatrick et al 2022,,,,3.4625,0.539389782,Etard et al 2020,,
373,internal,endotherm,Aves,Passeriformes,Icteriade,Dolichonyx oryzivorus,31.55,1.5,Etard et al 2020,140.73,2.148386688,Fitzpatrick et al 2022,0.39,-0.41,Baker et al 2020,5.11,0.7084209,Etard et al 2020,1.32,Animal genome size database
1016,internal,endotherm,Mammalia,Rodentia,Caviidae,Dolichotis patagonum,10250,4.01,Etard et al 2020,42.068,1.623951865,Fitzpatrick et al 2022,,,,1.8125,0.258278015,Etard et al 2020,3.7,Animal genome size database
1123,internal,endotherm,Mammalia,Rodentia,Caviidae,Dolichotis salinicola,1607.6,3.21,Etard et al 2020,52.8,1.722633923,Fitzpatrick et al 2022,,,,1.7675,0.247359422,Etard et al 2020,3.85,Animal genome size database
950,internal,ectotherm,Reptilia,Squamata,Teiidae,Dracaena guianensis,1963.31,3.29,Etard et al 2020,88.56,1.947237608,Fitzpatrick et al 2022,,,,8.499629594,0.9294,Etard et al 2020,,
469,internal,endotherm,Aves,Casuariiformes,Casuariidaee,Dromaius novaehollandiae,34200,4.53,Etard et al 2020,65,1.812913357,Fitzpatrick et al 2022,126.77,2.1,Baker et al 2020,9.5,0.977723605,Etard et al 2020,1.55,Animal genome size database
1232,external,ectotherm,Amphibia,Anura,Hylidae,Dryophytes japonicus,2.5,0.4,Baker et al 2020,67.7,1.830588669,Fitzpatrick et al 2022,0.01,-2.17,Baker et al 2020,832,2.920123326,AmphiBio,4,Animal genome size database
374,internal,endotherm,Aves,Passeriformes,Mimidae,Dumetella carolinensis,35.35,1.55,Etard et al 2020,67.67,1.830396176,Fitzpatrick et al 2022,0.22,-0.66,Baker et al 2020,3.875,0.588271707,Etard et al 2020,1.32,Animal genome size database
1229,external,ectotherm,Amphibia,Anura,Bufonidae,Duttaphrynus melanostictus,122.3,2.09,Etard et al 2020,64,1.806179974,Fitzpatrick et al 2022,0.02,-1.68,Baker et al 2020,,,,,
37,external,ectotherm,Amphibia,Anura,Bufonidae,Duttaphrynus melanostictus,20.35,1.31,Liao et al 2018,65.3,1.814913181,Fitzpatrick et al 2022,0.02,-1.68,Liao et al 2018,7139,3.853637382,Lupold et al 2017,6.02,Animal genome size database
1040,internal,endotherm,Mammalia,Rodentia,Muridae,Echiothrix leucura,164.34,2.22,Etard et al 2020,195,2.290034611,Fitzpatrick et al 2022,,,,,,,,
1007,internal,endotherm,Mammalia,Carnivora,Mustelidae,Eira barbara,4022.51,3.6,Etard et al 2020,53.128,1.725323467,Fitzpatrick et al 2022,,,,2.07,0.315970345,Etard et al 2020,,
1178,internal,endotherm,Aves,Passeriformes,Tyrannidae,Elaenia parvirostris,13.85,1.14,Etard et al 2020,54.51,1.736476182,Fitzpatrick et al 2022,,,,2.4,0.380211242,Etard et al 2020,,
884,internal,endotherm,Mammalia,Cetartiodactyla,Cervidae,Elaphurus davidianus,165989.17,5.22,Etard et al 2020,58.834,1.769628376,Fitzpatrick et al 2022,57.41,1.76,Baker et al 2020,1.165,0.066325925,Etard et al 2020,,
781,internal,endotherm,Mammalia,Macroscelidea,Macroscelididae,Elephantulus brachyrhynchus,46.31,1.67,Etard et al 2020,66.4,1.822168079,Fitzpatrick et al 2022,0.1,-1,Tourmente et al 2011,1.5925,0.202079441,Etard et al 2020,,
726,internal,endotherm,Mammalia,Macroscelidea,Macroscelididae,Elephantulus edwardii,49.69,1.7,Etard et al 2020,98.1,1.991669007,Fitzpatrick et al 2022,,,,1.8,0.255272505,Etard et al 2020,5.98,Animal genome size database
727,internal,endotherm,Mammalia,Macroscelidea,Macroscelididae,Elephantulus intufi,49.2,1.69,Etard et al 2020,56.5,1.752048448,Fitzpatrick et al 2022,,,,1.575,0.197280558,Etard et al 2020,,
854,internal,endotherm,Mammalia,Macroscelidea,Macroscelididae,Elephantulus myurus,59.51,1.77,Etard et al 2020,75.7,1.87909588,Fitzpatrick et al 2022,0.08,-1.1,Tourmente et al 2015,1.84,0.264817823,Etard et al 2020,,
647,internal,endotherm,Mammalia,Proboscidea,Elephantidae,Elephas maximus,3244897,6.51,Etard et al 2020,59,1.770852012,Fitzpatrick et al 2022,2870.78,3.46,Baker et al 2020,1.205,0.080987047,Etard et al 2020,4.03,Animal genome size database
1101,internal,endotherm,Mammalia,Rodentia,Cricetidae,Eligmodontia typus,17.37,1.24,Etard et al 2020,107.5,2.031408464,Fitzpatrick et al 2022,,,,5.68,0.754348336,Etard et al 2020,,
1090,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus antsingy,79.69,1.9,Etard et al 2020,73.5,1.866287339,Fitzpatrick et al 2022,,,,,,,,
1091,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus grandidieri,79.69,1.9,Etard et al 2020,87.7,1.942999593,Fitzpatrick et al 2022,,,,,,,,
1092,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus majori,100,2,Etard et al 2020,131.6,2.119255889,Fitzpatrick et al 2022,,,,,,,,
1093,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus minor,47.52,1.68,Etard et al 2020,105.5,2.02325246,Fitzpatrick et al 2022,,,,,,,,
1094,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus myoxinus,69.88,1.84,Etard et al 2020,82.4,1.915927212,Fitzpatrick et al 2022,,,,,,,,
1095,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus tanala,90,1.95,Etard et al 2020,84,1.924279286,Fitzpatrick et al 2022,,,,,,,,
1096,internal,endotherm,Mammalia,Rodentia,Nesomyidae,Eliurus webbi,68.07,1.83,Etard et al 2020,85.5,1.931966115,Fitzpatrick et al 2022,,,,,,,,
1150,internal,endotherm,Aves,Passeriformes,Emberizidae,Emberiza cirlus,25.6,1.41,Etard et al 2020,128.66,2.109443547,Fitzpatrick et al 2022,,,,3.5,0.544068044,Etard et al 2020,,
375,internal,endotherm,Aves,Passeriformes,Emberizidae,Emberiza citrinella,29.7,1.47,Etard et al 2020,130.24,2.114744388,Fitzpatrick et al 2022,0.51,-0.29,Baker et al 2020,3.9,0.591064607,Etard et al 2020,,
1151,internal,endotherm,Aves,Passeriformes,Emberizidae,Emberiza flaviventris,18.24,1.26,Etard et al 2020,96.61,1.985022082,Fitzpatrick et al 2022,,,,2.4,0.380211242,Etard et al 2020,1.38,Animal genome size database
376,internal,endotherm,Aves,Passeriformes,Emberizidae,Emberiza schoeniclus,18.45,1.27,Etard et al 2020,283.85,2.453088899,Fitzpatrick et al 2022,0.52,-0.28,Baker et al 2020,4.5,0.653212514,Etard et al 2020,,
377,internal,endotherm,Aves,Passeriformes,Tyrannidae,Empidonax alnorum,13.2,1.12,Etard et al 2020,50.44,1.702775078,Fitzpatrick et al 2022,0.12,-0.92,Baker et al 2020,3.5,0.544068044,Etard et al 2020,1.22,Animal genome size database
378,internal,endotherm,Aves,Passeriformes,Tyrannidae,Empidonax minimus,10.28,1.01,Etard et al 2020,51.86,1.714832512,Fitzpatrick et al 2022,0.19,-0.72,Baker et al 2020,4,0.602059991,Etard et al 2020,1.2,Animal genome size database
987,internal,ectotherm,Reptilia,Squamata,Hoplocercidae,Enyalioides laticeps,122.46,2.09,Etard et al 2020,101.56,2.006722692,Fitzpatrick et al 2022,,,,6.25028758,0.7959,Etard et al 2020,,
745,internal,endotherm,Mammalia,Chiroptera,Vespertilionidae,Eptesicus fuscus,17.2,1.24,Etard et al 2020,72,1.857332496,Fitzpatrick et al 2022,,,,1.8875,0.27588696,Etard et al 2020,2.25,Animal genome size database
622,internal,endotherm,Mammalia,Perissodactyla,Equidae,Equus asinus,171249.25,5.23,Etard et al 2020,64.1,1.80685803,Fitzpatrick et al 2022,202.3,2.31,Baker et al 2020,1,0,Etard et al 2020,4.12,Animal genome size database
623,internal,endotherm,Mammalia,Perissodactyla,Equidae,Equus caballus,326799.27,5.51,Etard et al 2020,60.6,1.782472624,Fitzpatrick et al 2022,339.63,2.53,Baker et al 2020,1,0,Etard et al 2020,2.95,Animal genome size database
502,internal,endotherm,Mammalia,Perissodactyla,Equidae,Equus grevyi,408000.08,5.61,Etard et al 2020,50,1.698970004,Fitzpatrick et al 2022,1150.8,3.06,Baker et al 2020,1,0,Etard et al 2020,,
782,internal,endotherm,Mammalia,Perissodactyla,Equidae,Equus kiang,278069.3,5.44,Etard et al 2020,53.77,1.730540036,Fitzpatrick et al 2022,162.18,2.21,Baker et al 2020,1,0,Etard et al 2020,,
165,internal,endotherm,Aves,Passeriformes,Alaudidae,Eremopterix verticalis,16.93,1.23,Etard et al 2020,98.11,1.991713276,Fitzpatrick et al 2022,0.09,-1.05,Baker et al 2020,2.4,0.380211242,Jetz et al 2008,,
778,internal,endotherm,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus europaeus,774.48,2.89,Etard et al 2020,90,1.954242509,Fitzpatrick et al 2022,3.12,0.49,Baker et al 2020,4.43,0.646403726,Etard et al 2020,3.66,Animal genome size database
379,internal,endotherm,Aves,Passeriformes,Turdidae,Erithacus rubecula,17.7,1.25,Etard et al 2020,136.63,2.135546068,Fitzpatrick et al 2022,0.23,-0.64,Baker et al 2020,5.17,0.713490543,Etard et al 2020,1.82,Animal genome size database
1041,internal,endotherm,Mammalia,Rodentia,Muridae,Eropeplus canus,61.98,1.79,Etard et al 2020,86,1.934498451,Fitzpatrick et al 2022,,,,,,,,
632,internal,endotherm,Mammalia,Primates,Cercopithecidae,Erythrocebus patas,7966.3,3.9,Etard et al 2020,89.5,1.951823035,Fitzpatrick et al 2022,7.19,0.86,Baker et al 2020,1.005,0.002166062,Etard et al 2020,3.52,Animal genome size database
967,internal,ectotherm,Reptilia,Squamata,Colubridae,Erythrolamprus almadensis,22.88,1.36,Tourmente et al 2009,150.87,2.17860289,Fitzpatrick et al 2022,0.36,-0.45,Tourmente et al 2009,,,,,
968,internal,ectotherm,Reptilia,Squamata,Colubridae,Erythrolamprus poecilogyrus,25.17,1.4,Tourmente et al 2009,158.06,2.198821978,Fitzpatrick et al 2022,0.45,-0.35,Tourmente et al 2009,,,,,
190,internal,endotherm,Aves,Passeriformes,Estrildidae,Erythrura gouldiae,13.1,1.12,Immler et al 2011,75.44,1.87760168,Fitzpatrick et al 2022,0.16,-0.8,Immler et al 2011,5.7,0.755874856,Amniote,,
191,internal,endotherm,Aves,Passeriformes,Estrildidae,Estrilda astrild,8.18,0.91,Etard et al 2020,73.65,1.867172751,Fitzpatrick et al 2022,0.02,-1.62,Immler et al 2011,4.9,0.69019608,Etard et al 2020,1.2,Animal genome size database
192,internal,endotherm,Aves,Passeriformes,Estrildidae,Estrilda erythronotos,9.23,0.96,Etard et al 2020,58.57,1.767675224,Fitzpatrick et al 2022,0.02,-1.74,Immler et al 2011,4.5,0.653212514,Etard et al 2020,,
1153,internal,endotherm,Aves,Passeriformes,Estrildidae,Estrilda paludicola,7.6,0.88,Etard et al 2020,59.67,1.775756038,Fitzpatrick et al 2022,,,,4.7,0.672097858,Etard et al 2020,,
887,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Eudorcas rufifrons,27000,4.43,Lupold et al 2015,64.714,1.810998245,Fitzpatrick et al 2022,7.9,0.9,Lupold et al 2015,,,,,
888,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Eudorcas thomsonii,22700,4.36,Lupold et al 2015,68.68,1.836830286,Lupold et al 2015,,,,,,,,
1249,internal,endotherm,Aves,Sphenisciformes,Spheniscidae,Eudyptes chrysocome,2330,3.37,Etard et al 2020,64.57,1.810030786,Fitzpatrick et al 2022,,,,2,0.301029996,Etard et al 2020,,
916,internal,endotherm,Mammalia,Primates,Lemuridae,Eulemur macaco,2314.4,3.36,Etard et al 2020,73.6,1.866877814,Fitzpatrick et al 2022,16.63,1.22,Baker et al 2020,1.04,0.017033339,Etard et al 2020,2.68,Animal genome size database
734,internal,endotherm,Mammalia,Primates,Lemuridae,Eulemur macaco,2501,3.4,Gage 1998,54.9,1.739572344,Fitzpatrick et al 2022,,,,,,,,
917,internal,endotherm,Mammalia,Primates,Lemuridae,Eulemur mongoz,1771.13,3.25,Etard et al 2020,62.9,1.798650645,Fitzpatrick et al 2022,12.25,1.09,Lupold et al 2015,1.11,0.045322979,Etard et al 2020,,
735,internal,endotherm,Mammalia,Primates,Lemuridae,Eulemur mongoz,2100,3.32,Gage 1998,55.3,1.742725131,Fitzpatrick et al 2022,,,,,,,,
212,internal,endotherm,Aves,Passeriformes,Icteridae,Euphagus cyanocephalus,62.65,1.8,Etard et al 2020,103.44,2.014688512,Fitzpatrick et al 2022,1.24,0.09,Baker et al 2020,5,0.698970004,Etard et al 2020,1.46,Animal genome size database
1234,external,ectotherm,Amphibia,Anura,Ranidae,Euphlyctis hexadactylus,300,2.48,Etard et al 2020,48.9,1.689308859,Fitzpatrick et al 2022,,,,2000,3.301029996,Etard et al 2020,,
308,internal,endotherm,Aves,Passeriformes,Ploceidae,Euplectes afer,14.3,1.16,Etard et al 2020,125.65,2.099162493,Fitzpatrick et al 2022,0.33,-0.48,Immler et al 2011,3.15,0.498310554,Etard et al 2020,1.19,Animal genome size database
1169,internal,endotherm,Aves,Passeriformes,Ploceidae,Euplectes aureus,21,1.32,Etard et al 2020,101.23,2.005309237,Fitzpatrick et al 2022,,,,2.5,0.397940009,Etard et al 2020,,
309,internal,endotherm,Aves,Passeriformes,Ploceidae,Euplectes orix,22.97,1.36,Etard et al 2020,150.04,2.176207055,Fitzpatrick et al 2022,0.54,-0.27,Baker et al 2020,3.1,0.491361694,Etard et al 2020,1.19,Animal genome size database
759,internal,endotherm,Mammalia,Carnivora,Viverridae,Eupleres goudotii,2881.67,3.46,Etard et al 2020,45,1.653212514,Fitzpatrick et al 2022,,,,1.125,0.051152522,Etard et al 2020,,
1273,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Eurillas ansorgei,19.26,1.28,Etard et al 2020,108.39,2.034989216,Fitzpatrick et al 2022,,,,,,,,
1274,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Eurillas curvirostris,25.7,1.41,Etard et al 2020,117.18,2.068853494,Fitzpatrick et al 2022,,,,,,,,
1275,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Eurillas gracilis,21.65,1.34,Etard et al 2020,116.45,2.066139493,Fitzpatrick et al 2022,,,,2,0.301029996,Etard et al 2020,,
1276,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Eurillas latirostris,26.25,1.42,Etard et al 2020,109.85,2.040800061,Fitzpatrick et al 2022,,,,2,0.301029996,Etard et al 2020,,
1277,internal,endotherm,Aves,Passeriformes,Pycnonotidae,Eurillas virens,26.56,1.42,Etard et al 2020,104.81,2.020402721,Fitzpatrick et al 2022,,,,2,0.301029996,Etard et al 2020,,
1154,internal,endotherm,Aves,Passeriformes,Estrildidae,Euschistospiza dybowskii,13.4,1.13,Etard et al 2020,74.4,1.871572936,Fitzpatrick et al 2022,,,,5,0.698970004,Etard et al 2020,,
55,external,ectotherm,Amphibia,Anura,Dicroglossidae,Fejervarya limnocharis,7,0.85,Etard et al 2020,57,1.755874856,Fitzpatrick et al 2022,0.02,-1.69,Baker et al 2020,1560.5,3.193263773,Etard et al 2020,,
607,internal,endotherm,Mammalia,Carnivora,Felidae,Felis catus,3728.94,3.57,Etard et al 2020,59.35,1.773420723,Fitzpatrick et al 2022,3.61,0.56,Baker et al 2020,3.69,0.567026366,Etard et al 2020,2.86,Animal genome size database
608,internal,endotherm,Mammalia,Carnivora,Felidae,Felis nigripes,1362.77,3.13,Etard et al 2020,50.469,1.7030247,Fitzpatrick et al 2022,2.11,0.33,Baker et al 2020,1.845,0.26599637,Etard et al 2020,,
380,internal,endotherm,Aves,Passeriformes,Muscicapidae,Ficedula albicollis,12.69,1.1,Etard et al 2020,101.15,2.004965887,Fitzpatrick et al 2022,0.04,-1.4,Baker et al 2020,6,0.77815125,Etard et al 2020,,
381,internal,endotherm,Aves,Passeriformes,Muscicapidae,Ficedula hypoleuca,13.79,1.14,Etard et al 2020,100.7,2.003029471,Fitzpatrick et al 2022,0.04,-1.4,Baker et al 2020,5.85,0.767155866,Etard et al 2020,,
382,internal,endotherm,Aves,Passeriformes,Fringillidae,Fringilla coelebs,22.63,1.35,Etard et al 2020,251.41,2.400382548,Fitzpatrick et al 2022,0.44,-0.36,Baker et al 2020,4.5,0.653212514,Etard et al 2020,1.12,Animal genome size database
383,internal,endotherm,Aves,Passeriformes,Passeridae,Fringilla montifringilla,22.93,1.36,Etard et al 2020,213,2.328379603,Fitzpatrick et al 2022,0.26,-0.58,Rowe et al 2015,5.9,0.770852012,Etard et al 2020,,
863,internal,endotherm,Mammalia,Rodentia,Bathyergidae,Fukomys damarensis,134.65,2.13,Etard et al 2020,42.9,1.633468456,Fitzpatrick et al 2022,0.18,-0.74,Tourmente et al 2015,2.75,0.439332694,Etard et al 2020,3.6,Animal genome size database
918,internal,endotherm,Mammalia,Primates,Lorisidae,Galago senegalensis,215.2,2.33,Etard et al 2020,61.2,1.786751422,Fitzpatrick et al 2022,1.66,0.22,Baker et al 2020,1.5,0.176091259,Etard et al 2020,3.96,Animal genome size database
790,internal,endotherm,Mammalia,Rodentia,Caviidae,Galea musteloides,386.64,2.59,Etard et al 2020,52.5,1.720159303,Fitzpatrick et al 2022,7.72,0.89,Tourmente et al 2011,2.615,0.417471693,Etard et al 2020,3.95,Animal genome size database
1088,internal,endotherm,Mammalia,Rodentia,Caviidae,Galea spixii,343.41,2.54,Etard et al 2020,48.87,1.689042339,Fitzpatrick et al 2022,,,,2.295,0.36078269,Etard et al 2020,,
166,internal,endotherm,Aves,Passeriformes,Alaudidae,Galerida cristata,42.68,1.63,Etard et al 2020,90.16,1.955013903,Fitzpatrick et al 2022,0.33,-0.48,Baker et al 2020,4.275,0.630936119,Etard et al 2020,,
344,internal,endotherm,Aves,Charadriiformes,Scolopacidae,Gallinago gallinago,112.94,2.05,Etard et al 2020,68.5,1.835690571,Fitzpatrick et al 2022,15.5,1.19,Johnson et al 1999,4,0.602059991,Etard et al 2020,,
276,internal,endotherm,Aves,Galliformes,Phasianidae,Gallus gallus,751.72,2.88,Etard et al 2020,89.8,1.953276337,Fitzpatrick et al 2022,27.99,1.45,Baker et al 2020,6,0.77815125,Etard et al 2020,,
277,internal,endotherm,Aves,Galliformes,Phasianidae,Gallus sonneratii,963,2.98,Lupold et al 2015,91.5,1.961421094,Fitzpatrick et al 2022,5.91,0.77,Lupold et al 2015 (corrected Immler et al 2007),4.5,0.653212514,Immler et al 2007,,
990,internal,ectotherm,Reptilia,Squamata,Crotaphytidae,Gambelia wislizenii,58.7,1.77,Etard et al 2020,102.74,2.011739561,Fitzpatrick et al 2022,,,,5.2,0.716003344,Etard et al 2020,,
176,internal,endotherm,Aves,Passeriformes,Corvidae,Garrulus glandarius,160.85,2.21,Etard et al 2020,46.76,1.669874502,Fitzpatrick et al 2022,0.3,-0.52,Immler et al 2011,5,0.698970004,Etard et al 2020,1.24,Animal genome size database
583,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Gazella cuvieri,22674.42,4.36,Etard et al 2020,70.41,1.847634344,Fitzpatrick et al 2022,39.36,1.6,Baker et al 2020,1.23,0.089905111,Etard et al 2020,,
585,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Gazella dorcas,14621.77,4.17,Baker et al 2020,62.016,1.792503751,Fitzpatrick et al 2022,31.48,1.5,Baker et al 2020,1,0,Anage,,
886,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Gazella leptoceros,23422.88,4.37,Etard et al 2020,65.308,1.814966384,Fitzpatrick et al 2022,6.65,0.82,Baker et al 2020,1,0,Etard et al 2020,,
586,internal,endotherm,Mammalia,Cetartiodactyla,Bovidae,Gazella subgutturosa,25003.45,4.4,Baker et al 2020,66.932,1.825633802,Fitzpatrick et al 2022,8.24,0.92,Baker et al 2020,1.3,0.113943352,Anage,,
5,external,ectotherm,Amphibia,Anura,Myobatrachidae,Geocrinia alba,0.65,-0.19,Etard et al 2020,48.449,1.685284818,Fitzpatrick et al 2022,0,-4,Byrne et al 2002,10.31,1.013258665,Allen et al 2017,,
56,external,ectotherm,Amphibia,Anura,Myobatrachidae,Geocrinia laevis,0.92,-0.04,Etard et al 2020,71.377,1.85355829,Fitzpatrick et al 2022,0,-2.62,Liao et al 2018,110,2.041392685,Etard et al 2020,,
6,external,ectotherm,Amphibia,Anura,Myobatrachidae,Geocrinia leai,0.66,-0.18,Etard et al 2020,76.68,1.884682104,Fitzpatrick et al 2022,0.01,-1.97,Byrne et al 2002,74,1.86923172,Etard et al 2020,,
57,external,ectotherm,Amphibia,Anura,Myobatrachidae,Geocrinia rosea,0.57,-0.24,Etard et al 2020,37.776,1.57721597,Fitzpatrick et al 2022,0,-4,Liao et al 2018,27.5,1.439332694,Etard et al 2020,,
58,external,ectotherm,Amphibia,Anura,Myobatrachidae,Geocrinia victoriana,1.57,0.2,Etard et al 2020,76.085,1.881299045,Fitzpatrick et al 2022,0.01,-1.89,Baker et al 2020,126,2.100370545,Etard et al 2020,,
1143,internal,endotherm,Mammalia,Rodentia,Geomyidae,Geomys pinetis,195.75,2.29,Etard et al 2020,110.5,2.043362278,Fitzpatrick et al 2022,,,,1.725,0.236789099,Etard et al 2020,,
263,internal,endotherm,Aves,Passeriformes,Parulidae,Geothlypis aequinoctialis,13.33,1.12,Etard et al 2020,119.28,2.07656763,Fitzpatrick et al 2022,0.2,-0.7,Immler et al 2011,2,0.301029996,Etard et al 2020,,
264,internal,endotherm,Aves,Passeriformes,Parulidae,Geothlypis formosa,13.2,1.12,Immler et al 2011,147.61,2.16911578,Fitzpatrick et al 2022,0.23,-0.64,Immler et al 2011,4.5,0.653212514,Jetz et al 2008,,
265,internal,endotherm,Aves,Passeriformes,Parulidae,Geothlypis philadelphia,11.9,1.08,Immler et al 2011,181.07,2.257846502,Fitzpatrick et al 2022,0.15,-0.82,Immler et al 2011,3.9,0.591064607,Jetz et al 2008,1.34,Animal genome size database
384,internal,endotherm,Aves,Passeriformes,Parulidae,Geothlypis trichas,9.54,0.98,Etard et al 2020,167.73,2.224610747,Fitzpatrick et al 2022,0.21,-0.68,Baker et al 2020,3.995,0.601516784,Etard et al 2020,1.44,Animal genome size database
934,internal,endotherm,Mammalia,Rodentia,Muridae,Gerbilliscus afra,87.8,1.94,Etard et al 2020,132.9,2.123524981,McLennan et al 2016,7.74,0.89,Baker et al 2020,3.92,0.593286067,Etard et al 2020,,
936,internal,endotherm,Mammalia,Rodentia,Muridae,Gerbilliscus brantsii,85.81,1.93,Etard et al 2020,137.2,2.137354111,McLennan et al 2016,5.31,0.73,Baker et al 2020,2.7625,0.441302287,Etard et al 2020,,
848,internal,endotherm,Mammalia,Rodentia,Muridae,Gerbilliscus leucogaster,78.1,1.89,Tourmente et al 2011,145,2.161368002,Fitzpatrick et al 2022,2.88,0.46,Tourmente et al 2011,,,,,
935,internal,endotherm,Mammalia,Rodentia,Muridae,Gerbilliscus leucogaster,103.78,2.02,Etard et al 2020,145.8,2.163757524,McLennan et al 2016,4.21,0.62,McLennan et al 2016,4.51,0.654176542,Etard et al 2020,,
931,internal,endotherm,Mammalia,Rodentia,Muridae,Gerbillurus paeba,25.91,1.41,Etard et al 2020,172.2,2.236033147,Fitzpatrick et al 2022,0.41,-0.39,McLennan et al 2016,3.6375,0.560803002,Etard et al 2020,,
